Brand	Model	Variant	Price	Image
Motorola	Moto Edge 30 Pro	8 GB/128 GB	11940	/models/motorola/Motorola_Moto_Edge_30_Pro.png
Motorola	Moto Edge 30	6 GB/128 GB	9560	/models/motorola/Moto_Edge_30.png.webp
Motorola	Moto Edge 30	8 GB/128 GB	9850	/models/motorola/Moto_Edge_30.png.webp
Motorola	Moto E32S	3 GB/32 GB	3690	/models/motorola/Moto_E32S.png
Motorola	Moto E32S	4 GB/64 GB	3940	/models/motorola/Moto_E32S.png
Motorola	Moto G22	4 GB/64 GB	4820	/models/motorola/Moto_G22.png
Motorola	Moto G52	4 GB/64 GB	5080	/models/motorola/Moto_G52.png
Motorola	Moto G52	6 GB/128 GB	5580	/models/motorola/Moto_G52.png
Motorola	Moto G82 5G	6 GB/128 GB	8750	/models/motorola/Moto_G82_5G.png
Motorola	Moto G82 5G	8 GB/128 GB	9300	/models/motorola/Moto_G82_5G.png
Motorola	Moto G71 5G	6 GB/128 GB	7930	/models/motorola/Motorola_Moto_G71_5G.png
Motorola	Moto G42	4 GB/64 GB	4920	/models/motorola/Moto_G42.png
Motorola	Moto E40	4 GB/64 GB	4470	/models/motorola/Motorola_Moto_E40.png
Motorola	Moto Razr 5G	8 GB/256 GB	16550	/models/motorola/Motorola_Moto_Razr_5G.png
Motorola	Moto Razr	6 GB/128 GB	12420	/models/motorola/Motorola_Moto_Razr.png
Motorola	Moto Edge 20	8 GB/128 GB	8810	/models/motorola/Motorola_Moto_Edge_20.png
Motorola	Moto Edge 20 Fusion	6 GB/128 GB	8080	/models/motorola/Motorola_Moto_Edge_20_Fusion.png
Motorola	Moto Edge 20 Fusion	8 GB/128 GB	8470	/models/motorola/Motorola_Moto_Edge_20_Fusion.png
Motorola	Moto Edge 20 Pro	8 GB/128 GB	10340	/models/motorola/Motorola_Moto_Edge_20_Pro.png
Motorola	Moto Edge Plus	12 GB/256 GB	11490	/models/motorola/Motorola_Moto_Edge_Plus.png
Motorola	Moto One Fusion Plus	6 GB/128 GB	5750	/models/motorola/Motorola_One_Fusion_Plus.png
Motorola	Moto One Macro	4 GB/64 GB	2890	/models/motorola/Motorola_One_Macro.png
Motorola	Moto One Action	4 GB/128 GB	3420	/models/motorola/Motorola_One_Action.png
Motorola	Moto One Vision	4 GB/128 GB	3370	/models/motorola/Motorola_One_Vision.png
Motorola	Moto G8 Plus	4 GB/64 GB	3730	/models/motorola/Motorola_Moto_G8_Plus.png
Motorola	Moto G40 Fusion	4 GB/64 GB	4910	/models/motorola/Motorola_Moto_G40_Fusion.png
Motorola	Moto G40 Fusion	6 GB/128 GB	5540	/models/motorola/Motorola_Moto_G40_Fusion.png
Motorola	Moto G60	6 GB/128 GB	6150	/models/motorola/Motorola_Moto_G60.png
Motorola	Moto G10 Power	4 GB/64 GB	4180	/models/motorola/Motorola_Moto_G10_Power.png
Motorola	Moto G30	4 GB/64 GB	3980	/models/motorola/Motorola_Moto_G30.png
Motorola	Moto G 5G	6 GB/128 GB	6850	/models/motorola/Motorola_Moto_G_5G.png
Motorola	Moto G9 Power	4 GB/64 GB	3910	/models/motorola/Motorola_Moto_G9_Power.png
Motorola	Moto G9	4 GB/64 GB	3820	/models/motorola/Motorola_Moto_G9.png
Motorola	Moto G8 Power Lite	4 GB/64 GB	3730	/models/motorola/Motorola_Moto_G8_Power_Lite.png
Motorola	Moto G7	4 GB/64 GB	1600	/models/motorola/Motorola_Moto_G7.png
Motorola	Moto G7 Power	4 GB/ 64 GB	2780	/models/motorola/Motorola_Moto_G7_Power.png
Motorola	Moto E7 Plus	4 GB/64 GB	3670	/models/motorola/Motorola_Moto_E7_Plus.png
Motorola	Moto E6s	4 GB/64 GB	2730	/models/motorola/Motorola_Moto_E6s.png
Motorola	Moto E5 Plus	3 GB/32 GB	3060	/models/motorola/Motorola_Moto_E5_Plus.png
